nome_azienda,an_forn,an_descr1,an_descr2
Amodio | Conserve Gentile | Forni Gentile | Pastificio Gentile,19010004,PASTIFICIO GENTILE SRL,
Agricola Lodigiana,19010013,AGRICOLA LODIGIANA S.R.L.,
Acquerello,19010018,RONDOLINO SOC.COOP.AGR.,
Mulino Marino,19010038,MARINO FELICE SRL,
De Marinis,19010056,AZIENDA AGRICOLA DE MARINIS DOMENICO,
La Nicchia,19010061,BONOMO E GIGLIO SRL,
Il Convento,19010062,IL CONVENTO SOC. AGR. A.R.L.,
Casa Marrazzo 1934,19010074,CONSERVE MARRAZZO CARMINE S.R.L.,
Pesto Rossi,19010075,ROSSI S.N.C DI PANIZZA & C.,
Evergreen,19010106,EVERGREEN DI BONACCORSO PIETRO,
Agricola Buongiorno,19010117,MASSERIA AGRICOLA BUONGIORNO DI ENRICO FANELLI,
Mongetto,19010206,MONGETTO SOC. COOP.,
Malpighi,19010375,ACETAIA MALPIGHI S.R.L.,
I De Giorgi,19010406,QUALITALIA PUGLIA S.R.L.,
Suriano,19010438,SURIANOLII & C. SNC,
Battaccone,19010477,PANIFICIO BATTACONE S.R.L.,
Esca,19010478,ESCA DOLCIARIA S.R.L.,
Calugi,19010480,CALUGI S.R.L.,
Pachineat,19010483,PACHINEAT SRL,
Guglielmi,19010498,GUGLIELMI SAVERIO DI GUGLIELMI R. E V. SNC,
Lunardi,19010502,FRATELLI LUNARDI S.R.L.,
Biobontà,19010579,TUTTOVO SRL,
Nero Fermento,19010674,NERO FERMENTO SRL,
Anfosso,19010679,OLIO ANFOSSO S.R.L.,
Forni Gentile,19010727,FORNO GENTILE S.R.L.,
Pasta Marilungo,19010773,LA PASTA DI CAMPOFILONE MARILUNGO SRL,
Zucchi,19010785,OLEIFICIO ZUCCHI SPA,
Boschi,19010829,BOSCHI SRL,
Farino,19010843,PALMISANO ANTONIO,
Izzica,19010852,GROUME SRL,(IZZICA)
Birrificio Messina,19010864,BIRRIFICIO MESSINA SOCIETA' COOPERATIVA,
Capuano,19010901,FILIERA FOOD SRL,AZIENDA AGRICOLA CAPUANO
BBS,19010014,SALUMIFICIO BBS & C. SNC,
CAPRIZ,19010692,CAPRIZ SRL SOCIO UNICO,
CARPINELLO,19010808,T.F.A. SRL,
CRUCOLO,19010485,CRUCOLO S.R.L,
FORMAGGERIA TOSCANA,19010417,FORMAGGERIA TOSCANA S.R.L.,
LA CASERA,19010071,LA CASERA S.R.L,
La Ghianda,19010369,MASSERIA LA GHIANDA DI DIGREGORIO ANTONIO,
L'Abbondanza,19010434,ADRIANO AZZARRI RAPPRESENTANTE S.A.S.,
LATTE NOBILE,19010890,LATTE NOBILE S.R.L.,
Montanari & Gruzza,19010448,MONTANARI & GRUZZA S.P.A.,
PESSOLANI,19010491,AZ.AGR.ZOOT.PESSOLANI NICOLA,
VALSAMOGGIA,19010676,CASEIFICIO VALSAMOGGIA S.N.C.,
PISANI DOSSI,19010658,AZIENDA AGRICOLA PISANI DOSSI S.S.,
SCUDELLARO,19010823,AZIENDA AGRICOLA SCUDELLARO S.AGR.S.,
BRANCHI,19010801,BRANCHI SRL,
CECINAS NIETO,19010866,CECINAS NIETO S.L.,
CENTRO CARNE,19010720,CENTRO CARNE S.R.L.,
COLIMENA,19010750,COLIMENA LA FABBRICA DEL TONNO SRL,
MEDIMER,19010703,CONSERVAS MEDIMER S.L.,
DELFINO,19010439,DELFINO BATTISTA SRL,
DI TRIA,19010770,DI TRIA SOCIETA' AGRICOLA ARL,
FATTORIA CA' DANTE,19010826,FATTORIA CA' DANTE SRL,
FRANCHI SALUMI,19010045,FRANCHI SALUMI SRL,
LA BOTTEGA DI ADO',19010372,LA BOTTEGA DI ADO' S.R.L.,
MENODICIOTTO,19010003,MENODICIOTTO S.R.L.,
CORADAZZI,19010781,PROSCIUTTI CORADAZZI SRL,
LOVISON,19010699,SALUMIFICIO A. LOVISON SRL,
SAPORI MEDITERRANEI,19010620,SAPORI MEDITERRANEI DI GIOVANNI CILIBERTI,
OBERTO,19010883,SELEZIONE OBERTO SRL,
SMERALDA,19010444,SMERALDA S.R.L.,
FRACASSA,19010205,SOCIETA' AGRICOLA FRACASSA S.S.,
