an_forn,ar_codart,ar_codart_2,ar_codart_3,ar_codart_4
19010004,GENTI2674,GENTI2651,,
19010013,002.01.2-02008,002.01.2-03308,,
19010018,ACQ4,ACQU2,,
19010038,BURATTO1,BURATTO10,,
19010038,ENKIR1,ENKIR10,,
19010038,FAR1511,FAR15110,,
19010038,FARRINT1,FARRINT10,,
19010038,FARTIPO01,FARTIPO010,,
19010038,MACINA1,MACINA10,,
19010038,MANITOBA1,MANITOBA10,,
19010038,SEMOLA1,SEMOLA10,,
19010038,SETTE2.01,SETTE2.05,,
19010038,SETTEEFFE1,SETTEEFFE5,,
19010038,SFARIN1,SFARIN25,,
19010061,IGP116P,IGP500M,,
19010061,NC0116,NC01062,,
19010061,NCC116,NCC278,,
19010061,NCS116P,NCS116M,NCS116G,
19010061,NCSV1000P,NCSV1000M,NCSV1000G,
19010061,NFC0116,NFC01062,,
19010061,NFDC0116,NFDC01062,,
19010062,CONVB1L,CONVB2L,CONVB3L,
19010062,CONVB1R,CONVB2R,CONVB3R,
19010074,TR0554,TR1513,,
19010106,BPD1,BPD10,,
19010106,CA9D,CA19D,,
19010106,GRAND1,GRAND10V,,
19010106,PA9D,PA19D,,
19010117,MAB001,MAB002,MAB004,MAB003
19010206,COFALBI0210,COFALBI1062,,
19010206,COFARAN0212,COFARAN1062,,
19010206,COFCOPE0040,COFCOPE1062,,
19010206,COFCOTO0040,COFCOTO1062,,
19010206,COFFICH0040,COFFICH1062,,
19010206,COFMORO0040,COFMORE1062,,
19010206,COPPEPE0040,COPPEPE1062,,
19010438,CONCIP106,CONCIP212,,
19010438,NDU106,NDU250,,
19010438,PEPSCA50,PEPSCA100,,
19010480,STP085,STP500,,
19010480,TA.085N,TA.180N,TA.500N15,
19010483,C001,C003,,
19010483,C011,C012,,
19010483,C021,C022,,
19010483,EP21,EP23,,
19010483,SD82,SD83,SD83-500GR,
19010498,BIO250,BIO500,,
19010498,FRU100,FRU250,FRU500,FRU750
19010498,INT100ML,INT250,INT500,INT750
19010498,LEG100,LEG250,LEG500,
19010498,MCO100,MCO500,MCO1L,
19010498,MOG100,MOG500,MOG1L,
19010498,MPE100,MPE500,MPE1LT,
19010679,53200,53202,,
19010679,AN51400,AN51402,AN51403,
19010679,AN54400,AN54402,,
19010852,V320,V580,V1700,
19010852,VP320,VP580,,
19010901,CAP00001,CAP00003,CAP0004,
19010901,CAP00005,CAP00007,CAP00008,
19010901,CAP00173,CAP00242,,
19010901,CAP00425,CAP00318,,
19010901,CAP00495,CAP00413,CAP00363,
